X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,ARREST,LARCENYCODE,CODE_DEFINED,LAT,LONG,OBJECTID
-76.1166494999999,43.0714620000001,2024/02/26 05:00:00+00,1607,1607,300 VILLAGE DR     ,,From Motor Vehicle,LARCENY,43.0714620000001,-76.1166494999999,2736
-76.1559569989999,43.065072,2024/05/25 04:00:00+00,535,535,300 W  KIRKPATRICK ST     ,,All Other,LARCENY,43.065072,-76.155956999,2737
-76.1606414999999,43.0163370000001,2024/06/02 04:00:00+00,113,113,300 VALLEY DR     ,,All Other,LARCENY,43.0163370000001,-76.1606414999999,2738
-76.148118,43.049106,2024/06/03 04:00:00+00,1422,1422,300 W  WASHINGTON ST     ,,All Other,LARCENY,43.0491060000001,-76.148118,2739
-76.148118,43.049106,2024/01/25 05:00:00+00,1445,1510,300 W  WASHINGTON ST   ,,All Other,LARCENY,43.0491060000001,-76.148118,2740
-76.1483474999999,43.0140510000001,2024/05/18 04:00:00+00,45,45,300 W  OSTRANDER AVE    ,,All Other,LARCENY,43.0140510000001,-76.1483474999999,2741
-76.1478344989999,43.0250310000001,2024/01/29 05:00:00+00,1909,1909,300 W COLVIN ST     ,,,AGGRAVATED ASSAULT,43.0250310000001,-76.1478344989999,2742
-76.156164,43.0488720000001,2024/04/16 04:00:00+00,1545,1545,300 W FAYETTE ST     ,,From Motor Vehicle,LARCENY,43.0488720000001,-76.156164,2743
-76.156164,43.0488720000001,2024/02/04 05:00:00+00,134,134,300 W FAYETTE ST   ,Yes,,ROBBERY,43.0488720000001,-76.156164,2744
-76.156164,43.0488720000001,2024/02/03 05:00:00+00,1853,1020,300 W FAYETTE ST     ,,From Building,BURGLARY,43.0488720000001,-76.156164,2745
-76.156164,43.0488720000001,2024/03/24 04:00:00+00,200,200,300 W FAYETTE ST     ,,,AGGRAVATED ASSAULT,43.0488720000001,-76.156164,2746
-76.1531265,43.0294410000001,2024/06/04 04:00:00+00,0,500,300 W KENNEDY ST     ,,Of Bicycle,MV THEFT,43.0294410000001,-76.1531265,2747
-76.1531265,43.0294410000001,2024/05/06 04:00:00+00,2307,2307,300 W KENNEDY ST     ,,All Other,LARCENY,43.0294410000001,-76.1531265,2748
-76.1531265,43.0294410000001,2024/07/18 04:00:00+00,100,600,300 W KENNEDY ST     ,,From Motor Vehicle,LARCENY,43.0294410000001,-76.1531265,2749
-76.1531265,43.0294410000001,2024/05/28 04:00:00+00,542,542,300 W KENNEDY ST     ,,,AGGRAVATED ASSAULT,43.0294410000001,-76.1531265,2750
-76.1531265,43.0294410000001,2024/02/21 05:00:00+00,756,756,300 W KENNEDY ST   ,,All Other,LARCENY,43.0294410000001,-76.1531265,2751
-76.156164,43.0488720000001,2024/03/23 04:00:00+00,0,1025,300 W FAYETTE ST     ,,From Building,LARCENY,43.0488720000001,-76.156164,2752
-76.1531265,43.0294410000001,2024/03/31 04:00:00+00,1907,1907,300 W KENNEDY ST     ,Yes,All Other,LARCENY,43.0294410000001,-76.1531265,2753
-76.1531265,43.0294410000001,2024/04/09 04:00:00+00,1300,1702,300 W KENNEDY ST     ,,Of Bicycle,BURGLARY,43.0294410000001,-76.1531265,2754
-76.16511,43.031592,2024/03/25 04:00:00+00,1415,1415,300 W ONONDAGA ST     ,Yes,,AGGRAVATED ASSAULT,43.031592,-76.16511,2755
-76.16511,43.031592,2024/06/21 04:00:00+00,630,645,300 W ONONDAGA ST     ,,,AGGRAVATED ASSAULT,43.031592,-76.16511,2756
-76.1483474999999,43.0140510000001,2024/02/10 05:00:00+00,857,900,300 W OSTRANDER AV   ,,Motor Vehicle,MV THEFT,43.0140510000001,-76.1483474999999,2757
-76.1531265,43.0294410000001,2024/03/25 04:00:00+00,2056,2056,300 W KENNEDY ST     ,,,AGGRAVATED ASSAULT,43.0294410000001,-76.1531265,2758
-76.133367001,43.077159,2024/07/07 04:00:00+00,100,614,300 WAINWRIGHT AV   ,,Of Bicycle,MV THEFT,43.0771590000001,-76.133367001,2759
-76.133367001,43.077159,2024/06/23 04:00:00+00,355,821,300 WAINWRIGHT AV   ,,Of Bicycle,MV THEFT,43.0771590000001,-76.133367001,2760
-76.133182501,43.0414200000001,2024/04/25 04:00:00+00,1359,1359,300 WALNUT PL     ,,From Building,LARCENY,43.0414200000001,-76.133182501,2761
-76.133182501,43.0414200000001,2024/02/13 05:00:00+00,1332,1332,300 WALNUT PL     ,,From Mailbox,LARCENY,43.0414200000001,-76.133182501,2762
-76.1824395,43.045263,2024/03/16 04:00:00+00,2120,920,300 WHITTIER AV   ,,From Motor Vehicle,LARCENY,43.045263,-76.1824395,2763
-76.1535,43.077789,2024/03/11 04:00:00+00,1200,1300,300 WILLUMAE DR     ,,All Other,LARCENY,43.0777890000001,-76.1535,2764
-76.1535,43.077789,2024/07/18 04:00:00+00,100,719,300 WILLUMAE DR     ,,Of Bicycle,LARCENY,43.0777890000001,-76.1535,2765
-76.1535,43.077789,2024/04/28 04:00:00+00,439,439,300 WILLUMAE DR     ,,From Building,BURGLARY,43.0777890000001,-76.1535,2766
-76.1535,43.077789,2024/03/19 04:00:00+00,1530,1545,300 WILLUMAE DR     ,,All Other,LARCENY,43.0777890000001,-76.1535,2767
-76.1824395,43.045263,2024/03/16 04:00:00+00,115,120,300 WHITTIER AV   ,,From Motor Vehicle,LARCENY,43.045263,-76.1824395,2768
-76.1942069999999,43.025652,2024/07/08 04:00:00+00,1200,1630,300 WINKWORTH PKWY   ,,From Building,BURGLARY,43.025652,-76.1942069999999,2769
-76.1376465,43.0712100000001,2024/07/09 04:00:00+00,1600,1600,300 WOODRUFF AV   ,,Of Bicycle,MV THEFT,43.0712100000001,-76.1376465,2770
-76.098213,43.041159,2024/05/03 04:00:00+00,824,824,3100 E GENESEE ST     ,Yes,All Other,LARCENY,43.0411590000001,-76.098213,2771
-76.1480055,43.010343,2024/01/27 05:00:00+00,1645,700,3100 MIDLAND AV   ,,All Other,BURGLARY,43.010343,-76.1480055,2772
-76.1477624999999,43.0085340000001,2024/06/28 04:00:00+00,1700,1900,3200 MIDLAND AV   ,,From Motor Vehicle,LARCENY,43.0085340000001,-76.1477624999999,2773
-76.148028,43.01118,2024/04/23 04:00:00+00,300,1759,3000 MIDLAND AV   ,,From Motor Vehicle,LARCENY,43.01118,-76.148028,2774
-76.1772915,43.033374,2024/03/17 04:00:00+00,2215,2215,400 ARTHUR ST     ,Yes,,AGGRAVATED ASSAULT,43.033374,-76.1772915,2775
-76.1772915,43.033374,2024/04/30 04:00:00+00,1015,1015,400 ARTHUR ST     ,,Of Bicycle,MV THEFT,43.033374,-76.1772915,2776
-76.1772915,43.033374,2024/06/21 04:00:00+00,1445,1452,400 ARTHUR ST     ,,All Other,LARCENY,43.033374,-76.1772915,2777
-76.1918174999999,43.048674,2024/01/06 05:00:00+00,30,1000,400 AVERY AV ,,From Building,BURGLARY,43.0486740000001,-76.1918175,2778
-76.108400999,43.048278,2024/03/20 04:00:00+00,844,844,400 BEATTIE ST     ,,All Other,LARCENY,43.048278,-76.108400999,2779
-76.108400999,43.048278,2024/05/03 04:00:00+00,2200,800,400 BEATTIE ST     ,,Of Bicycle,MV THEFT,43.048278,-76.108400999,2780
-76.141858501,43.05213,2024/01/28 05:00:00+00,1730,1030,400 BURNET AV ,Yes,Motor Vehicle,MV THEFT,43.05213,-76.1418585009999,2781
